FID,AREA,PERIMETER,HCAD_OLD,HCAD_NUMBE,CCAD_OLD,CCAD_NUMBE,ADR_OLD,ADR_NOW,ADR_NUM,ADR_FRAC,ADR_PREFIX,ADR_STREET,ADR_TYPE,ADR_SUF,ADR_BLDG_I,ADR_UNIT,ADR_CITY,ADR_STATE,ADR_ZIP,ADR_COUNTY,FLOOR_ID,TOTAL_FLOO,TOTAL_UNIT,COM_NAME,FAC_NAME,BUS_NAME,BUS_TYPE,BUS_TYPE2,REST_TYPE,REST,ZONING,YEAR_BUILT,USE_DESCR,JURISDICTI,JURISDIC_1,LABEL1,LABEL2,LABEL3,LABEL4,DATE_MOD1,DATE_MOD2,EDITOR,SOURCE_ID,COMMENT,USER_FLAG1,USER_FLAG2,RECORD_ID,X_COORD,Y_COORD,Z_COORD,Subdivisio,Sub_Sectio,Sub_Lots,created_us,created_da,last_edite,last_edi_1,Sub_Block,GC_Dist,Voter_prec,FEATURE,File_Name,CP,Unique_ID,created__1,created__2,last_edi_2,last_edi_3,LIFECYCLE,PostalCode,geometry,,x,y
31914,0,0,NA,NA,NA,NA, ,2707 MARKET ST,2707, , ,MARKET,ST, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,DONUT SHOP,GLAZED DONUTS 2,BAKERY, ,bakery,,GC, ,RIZ ZONE,BAYTOWN,1,2707, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0102,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0031880, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-6225,c(3237414.45759104, 13833465.3311259),-10575481.77,3468467.01
27866,0,0,NA,NA,NA,NA, ,2717 N ALEXANDER DR,2717, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,BAR,BAR,DIRTY DS TAVERN, , ,bar,,MU, , ,BAYTOWN,6,2717, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0533,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0026972, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-3336,c(3254610.98787162, 13842516.6736242),-10569343.83,3471447.61
25883,0,0,NA,NA,NA,NA, ,2727 W BAKER RD,2727, ,W,BAKER,RD, , , ,BAYTOWN,TX,77521,HARRIS, ,NA, ,COMMERCIAL,FOOD,ANTONIOS,ITALION,ITALION,italian,,NSC, , ,BAYTOWN,4,2727, , , ,20141002,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,4,0028,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0024551, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE, ,c(3240866.1085657, 13849115.0344635),-10574083.61,3473940.15
4013,0,0,NA,NA,NA,NA, ,2809 MARKET ST,2809, , ,MARKET,ST, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,RESTAURANT,EL MICHOACANO, , ,mexican,,MU, ,RIZ ZONE,BAYTOWN,1,2809, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,, ,, ,2,0102,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005264, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE, ,c(3236955.49357763, 13833679.2247718),-10575640.09,3468547.90
43817,0,0,NA,NA,NA,NA, ,2901 W BAKER RD,2901, ,W,BAKER,RD, , , ,BAYTOWN,TX,77521,HARRIS, ,NA, ,COMMERCIAL,FOOD,SERENA DONUTS,DONUTS, ,bakery,,NSC, , ,BAYTOWN,4,2901, , , ,2014,2014,MATT, , ,City, ,NA,0,0,0,COUNTRY CLUB OAKS, , , ,,sde,1/10/15 00:00, ,4,0028,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0044282, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77521-2058,c(3240127.90391838, 13849191.9690602),-10574341.56,3473976.19
12988,0,0,NA,NA,NA,NA, ,2915 MARKET ST,2915, , ,MARKET,ST, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,RETAIL,RESTAURANT,TAQUERIA SAHUAYO, , ,mexican,,MU, ,RIZ ZONE,BAYTOWN,1,2915, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,2,0102,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0012305, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-6229,c(3236665.62970223, 13833946.1408746),-10575738.50,3468645.43
18051,0,0,NA,NA,NA,NA, ,300 S ALEXANDER DR,300, ,S,ALEXANDER,DR, , ,109 UNITS,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,HOTEL,ECONO LODGE - SHADYS LOUNGE - RESTAURANT, , ,american,,GC, ,23,BAYTOWN,6,300,300, , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0249,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0019856, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-7306,c(3250733.759799, 13833882.522078),-10570807.87,3468452.64
53932,0,0,NA,NA,NA,NA, ,3002 GARTH RD,3002, , ,GARTH,RD, , , ,BAYTOWN,TX,77521,HARRIS, ,NA, ,COMMERCIAL,SANDWICH,COLONIAL HOUSE OF SANDWICHES,RESTAURANT, ,sandwich,,NSC, , ,BAYTOWN,1,3002, , ,COLONIAL HOUSE OF SANDWICHES, ,NA,MATT,BAYTOWN, ,City, ,NA,0,0,0,GLENARBOR, , , ,,sde,1/10/15 00:00, ,4,0012,RETAIL SPACE,ADDRESS_POINTS_20200828, ,BTD.ADR.B0054108, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77521-3914,c(3244865.6922865, 13843147.0410161),-10572753.06,3471788.39
4032,0,0,NA,NA,NA,NA, ,3002 W BAKER RD,3002, ,W,BAKER,RD, , , ,BAYTOWN,TX,77521,HARRIS, ,NA, ,RETAIL,GROCERIES,FOODTOWN, , ,grocery_store,,NSC, , ,BAYTOWN,3,3002, , , , ,NA,MATT,CENTERPOINT, ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,1,0739,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0005283, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77521-2068,c(3238209.9975331, 13849757.3039683),-10575007.35,3474198.62
18183,0,0,NA,NA,NA,NA, ,308 N ALEXANDER DR,308, ,N,ALEXANDER,DR, , , ,BAYTOWN,TX,77520,HARRIS, ,NA, ,COMMERCIAL,RESTAURANT,HARTZS CHICKEN, , ,fast_food,,MU, ,RIZ ZONE,BAYTOWN,6,308, , , , ,NA,BOB, , ,City, ,NA,0,0,0, , , , ,,sde,1/10/15 00:00, ,7,0249,BUILDING,ADDRESS_POINTS_20200828, ,BTD.ADR.B0019987, ,,JACOB.PEARSON,1/29/21 00:00,ACTIVE,77520-5805,c(3251130.52467575, 13835309.1531689),-10570651.50,3468950.44
